"url","group"
"http://www.vvc.edu/offices/associated_student_body/index.shtml","ASB"
"http://www.vvc.edu/offices/associated_student_body/lower-independent-age.shtml","ASB"
"http://www.vvc.edu/offices/associated_student_body/newsletters.shtml","ASB"
"http://www.vvc.edu/offices/associated_student_body/photos.shtml","ASB"
"http://www.vvc.edu/offices/associated_student_body/student-id-cards.shtml","ASB"
"http://www.vvc.edu/offices/associated_student_body/vvta_bus_routes.shtml","ASB"
"http://www.vvc.edu/academic/astronomy","Astronomy"
"http://www.vvc.edu/academic/athletics","Athletics"
"http://www.vvc.edu/academic/athletics/apartments.htm","Athletics"
"http://www.vvc.edu/academic/athletics/athletics-staff.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/athletics-success-stories.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/baseball_roster.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/baseball_schedule.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/baseball.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/coach-clyde-williams.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/coach-ricky-thomas.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/comments.htm","Athletics"
"http://www.vvc.edu/academic/athletics/cross-country_roster.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/cross-country_schedule.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/cross-country.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/director.htm","Athletics"
"http://www.vvc.edu/academic/athletics/facilities.htm","Athletics"
"http://www.vvc.edu/academic/athletics/football_all-american.htm","Athletics"
"http://www.vvc.edu/academic/athletics/football_all-state.htm","Athletics"
"http://www.vvc.edu/academic/athletics/football_roster.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/football_schedule.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/football-community-outreach.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/football-facilities.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/football-former-RAMS.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/football-honor-roll.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/football-lester-brown.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/football-press-releases.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/football-welcome.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/football.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/golf_history_MAIN.HTM","Athletics"
"http://www.vvc.edu/academic/athletics/golf_HOF_AAddotta.htm","Athletics"
"http://www.vvc.edu/academic/athletics/golf_HOF_ACochran.htm","Athletics"
"http://www.vvc.edu/academic/athletics/golf_HOF_EAskier.htm","Athletics"
"http://www.vvc.edu/academic/athletics/golf_HOF_FSutton.htm","Athletics"
"http://www.vvc.edu/academic/athletics/golf_HOF_JBeck.htm","Athletics"
"http://www.vvc.edu/academic/athletics/golf_HOF_KScroggins.htm","Athletics"
"http://www.vvc.edu/academic/athletics/golf_HOF_PFriedhof.htm","Athletics"
"http://www.vvc.edu/academic/athletics/golf_HOF_TMatthews.htm","Athletics"
"http://www.vvc.edu/academic/athletics/golf_HOF_TSutton.htm","Athletics"
"http://www.vvc.edu/academic/athletics/golf_HOF.htm","Athletics"
"http://www.vvc.edu/academic/athletics/golf_results_01-29-07.htm","Athletics"
"http://www.vvc.edu/academic/athletics/golf_roster.htm","Athletics"
"http://www.vvc.edu/academic/athletics/golf_schedule.htm","Athletics"
"http://www.vvc.edu/academic/athletics/golf_socal.htm","Athletics"
"http://www.vvc.edu/academic/athletics/golf-roster.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/golf.htm","Athletics"
"http://www.vvc.edu/academic/athletics/index.htm","Athletics"
"http://www.vvc.edu/academic/athletics/index.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/men-soccer-roster.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/men-soccer-schedule.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/men-soccer.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/men-tennis-roster.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/men-tennis-schedule.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/men-tennis.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/mens-basketball-roster.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/mens-basketball-schedule.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/mens-basketball.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/ncaa-publications.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/prospect.htm","Athletics"
"http://www.vvc.edu/academic/athletics/prospect.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/ram-athletics-statistics.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/search-events.htm","Athletics"
"http://www.vvc.edu/academic/athletics/softball-hall-of-fame.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/softball-records.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/softball-roster.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/softball-schedule.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/softball.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/training-facilities.htm","Athletics"
"http://www.vvc.edu/academic/athletics/volleyball-archives.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/volleyball-history.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/volleyball-roster.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/volleyball-schedule.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/volleyball.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/Wbasketball_roster.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/wbasketball_roster.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/Wbasketball_schedule.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/wbasketball_schedule.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/Wbasketball.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/wbasketball.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/women-tennis-roster.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/women-tennis-schedule.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/women-tennis.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/womens-sand-volleyball-roster.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/womens-sand-volleyball-schedule.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/womens-sand-volleyball.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/womens-soccer-HOF.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/womens-soccer-records.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/womens-soccer-roster.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/womens-soccer-schedule.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/womens-soccer.shtml","Athletics"
"http://www.vvc.edu/academic/athletics/wrestling_records.htm","Athletics"
"http://www.vvc.edu/academic/athletics/wrestling_roster.htm","Athletics"
"http://www.vvc.edu/academic/athletics/wrestling_schedule.htm","Athletics"
"http://www.vvc.edu/academic/athletics/wrestling.htm","Athletics"
"http://www.vvc.edu/academic/automotive","Automotive"
"http://www.vvc.edu/academic/automotive/course_description.shtml","Automotive"
"http://www.vvc.edu/academic/automotive/dan-rowland.shtml","Automotive"
"http://www.vvc.edu/academic/automotive/david-steinback.shtml","Automotive"
"http://www.vvc.edu/academic/automotive/ft-faculty.shtml","Automotive"
"http://www.vvc.edu/academic/automotive/index.shtml","Automotive"
"http://www.vvc.edu/academic/automotive/inst-asst.shtml","Automotive"
"http://www.vvc.edu/academic/automotive/internships.shtml","Automotive"
"http://www.vvc.edu/academic/automotive/jerid-scarborough.shtml","Automotive"
"http://www.vvc.edu/academic/automotive/joe-cashion.shtml","Automotive"
"http://www.vvc.edu/academic/automotive/john-sweet.shtml","Automotive"
"http://www.vvc.edu/academic/automotive/keith-shaner.shtml","Automotive"
"http://www.vvc.edu/academic/automotive/larry-beaudin.shtml","Automotive"
"http://www.vvc.edu/academic/automotive/lee-bennett.shtml","Automotive"
"http://www.vvc.edu/academic/automotive/mark-weller.shtml","Automotive"
"http://www.vvc.edu/academic/automotive/matco-tools-student-program.shtml","Automotive"
"http://www.vvc.edu/academic/automotive/mike-warnock.shtml","Automotive"
"http://www.vvc.edu/academic/automotive/mr-barklow.shtml","Automotive"
"http://www.vvc.edu/academic/automotive/pathway-alternative-propulsion-technician.shtml","Automotive"
"http://www.vvc.edu/academic/automotive/pathway-brake-alignment-technician.shtml","Automotive"
"http://www.vvc.edu/academic/automotive/pathway-dealership-porter-detailer.shtml","Automotive"
"http://www.vvc.edu/academic/automotive/pathway-drivetrain-management-technician.shtml","Automotive"
"http://www.vvc.edu/academic/automotive/pathway-heavy-line-technician.shtml","Automotive"
"http://www.vvc.edu/academic/automotive/pathway-inspection-maintenance-technician.shtml","Automotive"
"http://www.vvc.edu/academic/automotive/pathway-light-vehicle-diesel-engine-technician.shtml","Automotive"
"http://www.vvc.edu/academic/automotive/pathway-repair-shop-manager.shtml","Automotive"
